Model,URL,Launch,Display,Camera,Memory,Battery
Samsung Galaxy M17,https://www.gsmarena.com/samsung_galaxy_m17_5g-14221.php,"LAUNCH Announced 2025, October 10
Status Available. Released Exp. release 2025, October 13","DISPLAY Type Super AMOLED, 90Hz, 1100 nits (HBM)
Size 6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)
Protection Corning Gorilla Glass Victus","MAIN CAMERA Triple 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF, OIS
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.2, (macro)
Features LED flash, panorama, HDR
Video 1080p@30fps, gyro-EIS","MEMORY Card slot microSDXC (uses shared SIM slot)
Internal 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy F07,https://www.gsmarena.com/samsung_galaxy_f07-14205.php,"LAUNCH Announced 2025, October 04
Status Available. Released 2025, October 04","DISPLAY Type PLS LCD, 90Hz
Size 6.7 inches, 108.4 cm2 (~83.6% screen-to-body ratio)
Resolution 720 x 1600 pixels, 20:9 ratio (~262 ppi density)","MAIN CAMERA Dual 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (depth)
Features LED flash
Video 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 64GB 4GB RAM","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy M07,https://www.gsmarena.com/samsung_galaxy_m07-14100.php,"LAUNCH Announced 2025, October 01
Status Available. Released 2025, October 01","DISPLAY Type PLS LCD, 90Hz
Size 6.7 inches, 108.4 cm2 (~83.6% screen-to-body ratio)
Resolution 720 x 1600 pixels, 20:9 ratio (~262 ppi density)","MAIN CAMERA Dual 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (depth)
Features LED flash
Video 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 64GB 4GB RAM","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy A17 4G,https://www.gsmarena.com/samsung_galaxy_a17-14157.php,"LAUNCH Announced 2025, September 18
Status Available. Released 2025, September 18","DISPLAY Type Super AMOLED, 90Hz
Size 6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)
Protection Corning Gorilla Glass Victus+, Mohs level 5","MAIN CAMERA Triple 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF, OIS
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)
Features LED flash, panorama, HDR
Video 1080p@30fps","MEMORY Card slot microSDXC (uses shared SIM slot)
Internal 128GB 4GB RAM, 256GB 8GB RAM","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy Tab A11+,https://www.gsmarena.com/samsung_galaxy_tab_a11+-14192.php,"LAUNCH Announced 2025, September 29
Status Coming soon. Exp. release 2025, December","DISPLAY Type TFT LCD, 90Hz
Size 11.0 inches, 350.9 cm2 (~80.9% screen-to-body ratio)
Resolution 1200 x 1920 pixels, 16:10 ratio (~206 ppi density)","MAIN CAMERA Single 8 MP, AF
Video 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB, 256GB","BATTERY Type Li-Po 7040 mAh
Charging 25W wired"
Samsung Galaxy Tab A11,https://www.gsmarena.com/samsung_galaxy_tab_a11-14141.php,"LAUNCH Announced 2025, September 12
Status Available. Released 2025, September","DISPLAY Type TFT LCD, 90Hz
Size 8.7 inches, 214.9 cm2 (~81.7% screen-to-body ratio)
Resolution 800 x 1340 pixels, 5:3 ratio (~179 ppi density)","MAIN CAMERA Single 8 MP, AF
Video 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 64GB 4GB RAM, 128GB 8GB RAM","BATTERY Type 5100 mAh
Charging 15W wired"
Samsung Galaxy F17,https://www.gsmarena.com/samsung_galaxy_f17_5g-14107.php,"LAUNCH Announced 2025, September 11
Status Available. Released 2025, September 14","DISPLAY Type Super AMOLED, 90Hz, 1100 nits (HBM)
Size 6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)
Protection Corning Gorilla Glass Victus","MAIN CAMERA Triple 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF, OIS
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)
Features LED flash, panorama, HDR
Video 1080p@30fps, gyro-EIS","MEMORY Card slot microSDXC (uses shared SIM slot)
Internal 128GB 4GB RAM, 128GB 6GB RAM","BATTERY Type Li-Ion 5000 mAh
Charging 25W wired"
Samsung Galaxy S25 FE,https://www.gsmarena.com/samsung_galaxy_s25_fe_5g-14042.php,"LAUNCH Announced 2025, September 04
Status Available. Released 2025, September 04","DISPLAY Type Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 1900 nits (peak)
Size 6.7 inches, 110.2 cm2 (~89.2% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)
Protection Corning Gorilla Glass Victus+, Mohs level 5","MAIN CAMERA Triple 50 MP, f/1.8, 24mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS
8 MP, f/2.4, 75mm (telephoto), 1/4.4"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm
Features LED flash, HDR, panorama
Video 8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps; gyro-EIS, HDR","MEMORY Card slot No
Internal 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","BATTERY Type 4900 mAh
Charging 45W wired, PD, QC2, 65% in 30 min
15W wireless, Qi2 compatible
Reverse wireless"
Samsung Galaxy Tab S11 Ultra,https://www.gsmarena.com/samsung_galaxy_tab_s11_ultra_5g-14057.php,"LAUNCH Announced 2025, September 04
Status Available. Released 2025, September 04","DISPLAY Type Dynamic AMOLED 2X, 120Hz, HDR10+, 1000 nits (typ), 1600 nits (peak)
Size 14.6 inches, 617.8 cm2 (~90.8% screen-to-body ratio)
Resolution 1848 x 2960 pixels, 16:10 ratio (~239 ppi density)
Protection Mohs level 5","MAIN CAMERA Dual 13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF
8 MP, f/2.2, (ultrawide)
Features LED flash, HDR, panorama
Video 4K@30fps, 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM
  UFS","BATTERY Type Li-Po 11600 mAh
Charging 45W wired"
Samsung Galaxy Tab S11,https://www.gsmarena.com/samsung_galaxy_tab_s11_5g-14058.php,"LAUNCH Announced 2025, September 04
Status Available. Released 2025, September 04","DISPLAY Type Dynamic AMOLED 2X, 120Hz, HDR10+, 1000 nits (typ), 1600 nits (peak)
Size 11.0 inches, 350.9 cm2 (~83.6% screen-to-body ratio)
Resolution 1600 x 2560 pixels, 16:10 ratio (~274 ppi density)
Protection Mohs level 5","MAIN CAMERA Single 13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF
Features LED flash, HDR, panorama
Video 4K@30fps, 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM
  UFS","BATTERY Type Li-Po 8400 mAh
Charging 45W wired"
Samsung Galaxy Tab S10 Lite,https://www.gsmarena.com/samsung_galaxy_tab_s10_lite_5g-14059.php,"LAUNCH Announced 2025, August 25
Status Available. Released 2025, August 25","DISPLAY Type TFT LCD, 90Hz
Size 10.9 inches, 344.5 cm2 (~81.7% screen-to-body ratio)
Resolution 1320 x 2112 pixels, 16:10 ratio (~228 ppi density)
Protection Mohs level 5","MAIN CAMERA Single 8 MP, (wide), AF
Video 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB 6GB RAM, 256GB 8GB RAM","BATTERY Type Li-Po 8000 mAh
Charging 25W wired, 100% in 120 min"
Samsung Galaxy A07 4G,https://www.gsmarena.com/samsung_galaxy_a07-14066.php,"LAUNCH Announced 2025, August 25
Status Available. Released 2025, August 25","DISPLAY Type PLS LCD, 90Hz
Size 6.7 inches, 108.4 cm2 (~83.6% screen-to-body ratio)
Resolution 720 x 1600 pixels, 20:9 ratio (~262 ppi density)","MAIN CAMERA Dual 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (depth)
Features LED flash
Video 1080p@30/60fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM
  UFS 2.2","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy A17,https://www.gsmarena.com/samsung_galaxy_a17_5g-14041.php,"LAUNCH Announced 2025, August 06
Status Available. Released 2025, August 14","DISPLAY Type Super AMOLED, 90Hz, 800 nits (HBM)
Size 6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)
Protection Corning Gorilla Glass Victus, Mohs level 5","MAIN CAMERA Triple 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF, OIS
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)
Features LED flash, panorama, HDR
Video 1080p@30fps, gyro-EIS","MEMORY Card slot microSDXC (uses shared SIM slot)
Internal 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy F36,https://www.gsmarena.com/samsung_galaxy_f36_5g-14009.php,"LAUNCH Announced 2025, July 21
Status Available. Released 2025, July 29","DISPLAY Type Super AMOLED, 120Hz
Size 6.7 inches, 109.1 cm2 (~85.2% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~387 ppi density)
Protection Corning Gorilla Glass Victus+","MAIN CAMERA Triple 50 MP, f/1.8, (wide), 1/1.96"", PDAF, OIS
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
Features LED flash, panorama, HDR
Video 4K@30fps, 1080p@30/60fps, 720p@480fps, gyro-EIS","MEMORY Card slot microSDXC (uses shared SIM slot)
Internal 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy Z Fold7,https://www.gsmarena.com/samsung_galaxy_z_fold7-13826.php,"LAUNCH Announced 2025, July 09
Status Available. Released 2025, July 25","DISPLAY Type Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)
Size 8.0 inches, 204.2 cm2 (~90.0% screen-to-body ratio)
Resolution 1968 x 2184 pixels (~368 ppi density)
Protection Mohs level 1
  Titanium plate layer for display support
Cover display:
Dynamic LTPO AMOLED 2X, 120Hz, Corning Gorilla Glass Ceramic 2
6.5 inches, 1080 x 2520 pixels, 422 ppi","MAIN CAMERA Triple 200 MP, f/1.7, 24mm (wide), 1/1.3"", 0.6µm, multi-directional PDAF, OIS
10 MP, f/2.4, 67mm (telephoto), 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 120˚ (ultrawide), 1.4µm, dual pixel PDAF
Features LED flash, HDR, panorama
Video 8K@30fps, 4K@60fps, 1080p@60/120/240fps (gyro-EIS), 10-bit HDR, HDR10+","MEMORY Card slot No
Internal 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM, 1TB 16GB RAM
  UFS 4.0","BATTERY Type Li-Po 4400 mAh
Charging 25W wired, QC2.0, 50% in 30 min
15W wireless
4.5W reverse wireless"
Samsung Galaxy Z Flip7,https://www.gsmarena.com/samsung_galaxy_z_flip7-13712.php,"LAUNCH Announced 2025, July 09
Status Available. Released 2025, July 25","DISPLAY Type Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)
Size 6.9 inches, 111.2 cm2 (~88.7% screen-to-body ratio)
Resolution 1080 x 2520 pixels, 21:9 ratio (~397 ppi density)
Protection Mohs level 1
  Cover display:
Super AMOLED, 120Hz, 2600 nits (peak), 4.1 inches, 948 x 1048 pixels (Gorilla Glass Victus 2)","MAIN CAMERA Dual 50 MP, f/1.8, 23mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.2"", 1.12µm
Features LED flash, HDR, panorama
Video 4K@30/60fps, 1080p@60/120/240fps, HDR10+","MEMORY Card slot No
Internal 256GB 12GB RAM, 512GB 12GB RAM
  UFS 4.0","BATTERY Type 4300 mAh
Charging 25W wired, QC2.0, 50% in 30 min
15W wireless
4.5W reverse wireless"
Samsung Galaxy Z Flip7 FE,https://www.gsmarena.com/samsung_galaxy_z_flip7_fe_5g-13844.php,"LAUNCH Announced 2025, July 09
Status Available. Released 2025, July 25","DISPLAY Type Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)
Size 6.7 inches, 101.5 cm2 (~85.5% screen-to-body ratio)
Resolution 1080 x 2640 pixels (~426 ppi density)
Protection Mohs level 1
  Cover display:
Super AMOLED, 60Hz, 2600 nits (peak), 3.4 inches, 720 x 748 pixels (Gorilla Glass Victus 2), 306 ppi","MAIN CAMERA Dual 50 MP, f/1.8, 23mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.2"", 1.12µm
Features LED flash, HDR, panorama
Video 4K@30/60fps, 1080p@60/120/240fps, HDR10+","MEMORY Card slot No
Internal 128GB 8GB RAM, 256GB 8GB RAM","BATTERY Type 4000 mAh
Charging 25W wired, QC2.0, 50% in 30 min
15W wireless
4.5W reverse wireless"
Samsung Galaxy Watch8 Classic,https://www.gsmarena.com/samsung_galaxy_watch8_classic-13998.php,"LAUNCH Announced 2025, July 09
Status Available. Released 2025, July 25","DISPLAY Type Super AMOLED, 3000 nits (peak)
Size 1.34 inches
Resolution 438 x 438 pixels (~327 ppi density)
Protection Sapphire crystal",CAMERA   No,"MEMORY Card slot No
Internal 64GB 2GB RAM","BATTERY Type Li-Ion 445 mAh
Charging 10W wireless"
Samsung Galaxy Watch8,https://www.gsmarena.com/samsung_galaxy_watch8-13997.php,"LAUNCH Announced 2025, July 09
Status Available. Released 2025, July 25","DISPLAY Type Super AMOLED, 3000 nits (peak)
Size 1.47 inches
Resolution 480 x 480 pixels (~327 ppi density)
Protection Sapphire crystal",CAMERA   No,"MEMORY Card slot No
Internal 32GB 2GB RAM","BATTERY Type Li-Ion 435 mAh
Charging 10W wireless"
Samsung Galaxy M36,https://www.gsmarena.com/samsung_galaxy_m36_5g-13967.php,"LAUNCH Announced 2025, June 27
Status Available. Released 2025, July 12","DISPLAY Type Super AMOLED, 120Hz
Size 6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)
Protection Corning Gorilla Glass Victus+","MAIN CAMERA Triple 50 MP, f/1.8, (wide), 1/1.96"", PDAF, OIS
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
Features LED flash, panorama, HDR
Video 4K@30fps, 1080p@30/60fps, 720p@480fps, gyro-EIS","MEMORY Card slot microSDXC (uses shared SIM slot)
Internal 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM
  UFS 2.2","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy S25 Edge,https://www.gsmarena.com/samsung_galaxy_s25_edge-13506.php,"LAUNCH Announced 2025, May 13
Status Available. Released 2025, May 29","DISPLAY Type LTPO AMOLED 2X, 120Hz, 480Hz PWM, HDR10+
Size 6.7 inches, 110.2 cm2 (~92.1% screen-to-body ratio)
Resolution 1440 x 3120 pixels, 19.5:9 ratio (~513 ppi density)
Protection Corning Gorilla Glass Ceramic 2, Mohs level 5","MAIN CAMERA Dual 200 MP, f/1.7, 24mm (wide), 1/1.3"", 0.6µm, multi-directional PDAF, OIS
12 MP, f/2.2, 13mm (ultrawide), 1/2.55"", 1.4µm, PDAF
Features Best Face, LED flash, HDR, panorama
Video 8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 10-bit HDR","MEMORY Card slot No
Internal 256GB 12GB RAM, 512GB 12GB RAM","BATTERY Type Li-Ion 3900 mAh
Charging 25W wired, PD, QC2.0, 55% in 30 min
15W wireless (Qi2 Ready)"
Samsung Galaxy F56,https://www.gsmarena.com/samsung_galaxy_f56_5g-13855.php,"LAUNCH Announced 2025, May 07
Status Available. Released 2025, May 14","DISPLAY Type Super AMOLED+, 120Hz
Size 6.74 inches, 111.5 cm2 (~89.0% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~382 ppi density)
Protection Corning Gorilla Glass Victus+","MAIN CAMERA Triple 50 MP, f/1.8, (wide), PDAF, OIS
8 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)
Features LED flash, panorama, HDR
Video 4K@30fps, 1080p@30/60fps, gyro-EIS, OIS, 10-bit HDR","MEMORY Card slot No
Internal 128GB 8GB RAM, 256GB 8GB RAM
  UFS 3.1","BATTERY Type 5000 mAh
Charging 45W wired"
Samsung Galaxy M56,https://www.gsmarena.com/samsung_galaxy_m56_5g-13801.php,"LAUNCH Announced 2025, April 17
Status Available. Released 2025, April 17","DISPLAY Type Super AMOLED+, 120Hz
Size 6.74 inches, 111.5 cm2 (~89.0% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~382 ppi density)
Protection Corning Gorilla Glass Victus+","MAIN CAMERA Triple 50 MP, f/1.8, (wide), PDAF, OIS
8 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)
Features LED flash, panorama, HDR
Video 4K@30fps, 1080p@30/60fps, gyro-EIS, OIS, 10-bit HDR","MEMORY Card slot No
Internal 128GB 8GB RAM, 256GB 8GB RAM
  UFS 3.1","BATTERY Type 5000 mAh
Charging 45W wired"
Samsung Galaxy XCover7 Pro,https://www.gsmarena.com/samsung_galaxy_xcover7_pro-13780.php,"LAUNCH Announced 2025, April 14
Status Available. Released 2025, May 07","DISPLAY Type PLS LCD, 120Hz
Size 6.6 inches, 104.9 cm2 (~77.9% screen-to-body ratio)
Resolution 1080 x 2408 pixels, 20:9 ratio (~400 ppi density)
Protection Corning Gorilla Glass Victus+, Mohs level 5","MAIN CAMERA Dual 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
8 MP, f/2.2, (ultrawide)
Features Dual-LED flash, HDR, panorama
Video 4K@30fps, 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB 6GB RAM","BATTERY Type Li-Po 4350 mAh, removable
Charging 15W wired"
Samsung Galaxy Tab Active5 Pro,https://www.gsmarena.com/samsung_galaxy_tab_active5_pro-13790.php,"LAUNCH Announced 2025, April 14
Status Available. Released 2025, May 07","DISPLAY Type TFT LCD, 120Hz
Size 10.1 inches, 295.8 cm2 (~71.5% screen-to-body ratio)
Resolution 1920 x 1200 pixels, 16:10 ratio (~224 ppi density)
Protection Corning Gorilla Glass Victus+, Mohs level 5","MAIN CAMERA Single 12 MP, f/1.8, AF
Features LED flash, HDR, panorama
Video 4K@30fps, 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB 6GB RAM, 256GB 8GB RAM","BATTERY Type Li-Po 10100 mAh, removable"
Samsung Galaxy Tab S10 FE+,https://www.gsmarena.com/samsung_galaxy_tab_s10_fe+-13760.php,"LAUNCH Announced 2025, April 02
Status Available. Released 2025, April 03","DISPLAY Type IPS LCD, 90Hz
Size 13.1 inches, 497.6 cm2 (~85.0% screen-to-body ratio)
Resolution 1800 x 2880 pixels, 16:10 ratio (~259 ppi density)
Protection Mohs level 5","MAIN CAMERA Single 13 MP, f/2.0, (wide)
Features Best Face
Video 4K@30fps, 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB 8GB RAM, 256GB 12GB RAM","BATTERY Type Li-Po 10090 mAh
Charging 45W wired, QC2.0"
Samsung Galaxy Tab S10 FE,https://www.gsmarena.com/samsung_galaxy_tab_s10_fe-13761.php,"LAUNCH Announced 2025, April 02
Status Available. Released 2025, April 03","DISPLAY Type IPS LCD, 90Hz
Size 10.9 inches, 344.5 cm2 (~81.7% screen-to-body ratio)
Resolution 1440 x 2304 pixels, 16:10 ratio (~249 ppi density)
Protection Mohs level 5","MAIN CAMERA Single 13 MP, f/2.0, (wide)
Features Best Face
Video 4K@30fps, 1080p@30fps","MEMORY Card slot microSDXC (dedicated slot)
Internal 128GB 8GB RAM, 256GB 12GB RAM","BATTERY Type Li-Po 8000 mAh
Charging 45W wired, QC2.0"
Samsung Galaxy F16,https://www.gsmarena.com/samsung_galaxy_f16-13721.php,"LAUNCH Announced 2025, March 11
Status Available. Released 2025, March 13","DISPLAY Type Super AMOLED, 90Hz, 800 nits (HBM)
Size 6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","MAIN CAMERA Triple 50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)
Features LED flash, panorama, HDR
Video 1080p@30fps, gyro-EIS","MEMORY Card slot microSDXC (uses shared SIM slot)
Internal 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","BATTERY Type 5000 mAh
Charging 25W wired"
Samsung Galaxy A56,https://www.gsmarena.com/samsung_galaxy_a56-13603.php,"LAUNCH Announced 2025, March 02
Status Available. Released 2025, March 10","DISPLAY Type Super AMOLED, 120Hz, HDR10+, 1200 nits (HBM), 1900 nits (peak)
Size 6.7 inches, 110.2 cm2 (~87.7% screen-to-body ratio)
Resolution 1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)
Protection Corning Gorilla Glass Victus+, Mohs level 5","MAIN CAMERA Triple 50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS
12 MP, f/2.2, 123˚ (ultrawide), 1/3.06"", 1.12µm
5 MP, f/2.4, (macro)
Features Best Face, LED flash, panorama, HDR
Video 4K@30fps, 1080p@30/60fps, gyro-EIS","MEMORY Card slot No
Internal 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM
  UFS 3.1","BATTERY Type 5000 mAh
Charging 45W wired, 65% in 30 min, 100% in 68 min"
N/A,https://www.gsmarena.com/samsung_galaxy_a36-13497.php,N/A,N/A,N/A,N/A,N/A
